"COLUMN1","symboling","normalizedlosses","make","fueltype","aspiration","numofdoors","bodystyle","drivewheels","enginelocation","wheelbase","length","width","height","curbweight","enginetype","numofcylinders","enginesize","fuelsystem","bore","stroke","compressionratio","horsepower","peakrpm","citympg","highwaympg","price"
"0","3","122","alfa-romero","gas","std","two","convertible","rwd","front","88.6","0.811148486304661","0.890277777777778","0.816053511705686","2548","dohc","four","130","mpfi","3.47","2.68","9.0","111.0","5000.0","21","27","13495.0"
"1","3","122","alfa-romero","gas","std","two","convertible","rwd","front","88.6","0.811148486304661","0.890277777777778","0.816053511705686","2548","dohc","four","130","mpfi","3.47","2.68","9.0","111.0","5000.0","21","27","16500.0"
"2","1","122","alfa-romero","gas","std","two","hatchback","rwd","front","94.5","0.822681403171552","0.909722222222222","0.876254180602007","2823","ohcv","six","152","mpfi","2.68","3.47","9.0","154.0","5000.0","19","26","16500.0"
"3","2","164","audi","gas","std","four","sedan","fwd","front","99.8","0.848630466122057","0.919444444444445","0.908026755852843","2337","ohc","four","109","mpfi","3.19","3.4","10.0","102.0","5500.0","24","30","13950.0"
"4","2","164","audi","gas","std","four","sedan","4wd","front","99.4","0.848630466122057","0.922222222222222","0.908026755852843","2824","ohc","five","136","mpfi","3.19","3.4","8.0","115.0","5500.0","18","22","17450.0"
"5","2","122","audi","gas","std","two","sedan","fwd","front","99.8","0.851994233541567","0.920833333333333","0.887959866220736","2507","ohc","five","136","mpfi","3.19","3.4","8.5","110.0","5500.0","19","25","15250.0"
"6","1","158","audi","gas","std","four","sedan","fwd","front","105.8","0.925997116770783","0.991666666666667","0.931438127090301","2844","ohc","five","136","mpfi","3.19","3.4","8.5","110.0","5500.0","19","25","17710.0"
"7","1","122","audi","gas","std","four","wagon","fwd","front","105.8","0.925997116770783","0.991666666666667","0.931438127090301","2954","ohc","five","136","mpfi","3.19","3.4","8.5","110.0","5500.0","19","25","18920.0"
"8","1","158","audi","gas","turbo","four","sedan","fwd","front","105.8","0.925997116770783","0.991666666666667","0.934782608695652","3086","ohc","five","131","mpfi","3.13","3.4","8.3","140.0","5500.0","17","20","23875.0"
"10","2","192","bmw","gas","std","two","sedan","rwd","front","101.2","0.849591542527631","0.9","0.908026755852843","2395","ohc","four","108","mpfi","3.5","2.8","8.8","101.0","5800.0","23","29","16430.0"
"11","0","192","bmw","gas","std","four","sedan","rwd","front","101.2","0.849591542527631","0.9","0.908026755852843","2395","ohc","four","108","mpfi","3.5","2.8","8.8","101.0","5800.0","23","29","16925.0"
"12","0","188","bmw","gas","std","two","sedan","rwd","front","101.2","0.849591542527631","0.9","0.908026755852843","2710","ohc","six","164","mpfi","3.31","3.19","9.0","121.0","4250.0","21","28","20970.0"
"13","0","188","bmw","gas","std","four","sedan","rwd","front","101.2","0.849591542527631","0.9","0.908026755852843","2765","ohc","six","164","mpfi","3.31","3.19","9.0","121.0","4250.0","21","28","21105.0"
"14","1","122","bmw","gas","std","four","sedan","rwd","front","103.5","0.90821720326766","0.929166666666667","0.931438127090301","3055","ohc","six","164","mpfi","3.31","3.19","9.0","121.0","4250.0","20","25","24565.0"
"15","0","122","bmw","gas","std","four","sedan","rwd","front","103.5","0.90821720326766","0.929166666666667","0.931438127090301","3230","ohc","six","209","mpfi","3.62","3.39","8.0","182.0","5400.0","16","22","30760.0"
"16","0","122","bmw","gas","std","two","sedan","rwd","front","103.5","0.931283037001442","0.943055555555556","0.897993311036789","3380","ohc","six","209","mpfi","3.62","3.39","8.0","182.0","5400.0","16","22","41315.0"
"17","0","122","bmw","gas","std","four","sedan","rwd","front","110.0","0.946660259490629","0.984722222222222","0.941471571906355","3505","ohc","six","209","mpfi","3.62","3.39","8.0","182.0","5400.0","15","20","36880.0"
"18","2","121","chevrolet","gas","std","two","hatchback","fwd","front","88.4","0.678039404132629","0.8375","0.889632107023411","1488","l","three","61","2bbl","2.91","3.03","9.5","48.0","5100.0","47","53","5151.0"
"19","1","98","chevrolet","gas","std","two","hatchback","fwd","front","94.5","0.749159058145123","0.883333333333333","0.869565217391304","1874","ohc","four","90","2bbl","3.03","3.11","9.6","70.0","5400.0","38","43","6295.0"
"20","0","81","chevrolet","gas","std","four","sedan","fwd","front","94.5","0.763094666025949","0.883333333333333","0.869565217391304","1909","ohc","four","90","2bbl","3.03","3.11","9.6","70.0","5400.0","38","43","6575.0"
"21","1","118","dodge","gas","std","two","hatchback","fwd","front","93.7","0.755886592984142","0.886111111111111","0.849498327759197","1876","ohc","four","90","2bbl","2.97","3.23","9.41","68.0","5500.0","37","41","5572.0"
"22","1","118","dodge","gas","std","two","hatchback","fwd","front","93.7","0.755886592984142","0.886111111111111","0.849498327759197","1876","ohc","four","90","2bbl","2.97","3.23","9.4","68.0","5500.0","31","38","6377.0"
"23","1","118","dodge","gas","turbo","two","hatchback","fwd","front","93.7","0.755886592984142","0.886111111111111","0.849498327759197","2128","ohc","four","98","mpfi","3.03","3.39","7.6","102.0","5500.0","24","30","7957.0"
"24","1","148","dodge","gas","std","four","hatchback","fwd","front","93.7","0.755886592984142","0.886111111111111","0.846153846153846","1967","ohc","four","90","2bbl","2.97","3.23","9.4","68.0","5500.0","31","38","6229.0"
"25","1","148","dodge","gas","std","four","sedan","fwd","front","93.7","0.755886592984142","0.886111111111111","0.846153846153846","1989","ohc","four","90","2bbl","2.97","3.23","9.4","68.0","5500.0","31","38","6692.0"
"26","1","148","dodge","gas","std","four","sedan","fwd","front","93.7","0.755886592984142","0.886111111111111","0.846153846153846","1989","ohc","four","90","2bbl","2.97","3.23","9.4","68.0","5500.0","31","38","7609.0"
"27","1","148","dodge","gas","turbo","?","sedan","fwd","front","93.7","0.755886592984142","0.886111111111111","0.846153846153846","2191","ohc","four","98","mpfi","3.03","3.39","7.6","102.0","5500.0","24","30","8558.0"
"28","-1","110","dodge","gas","std","four","wagon","fwd","front","103.3","0.839019702066314","0.897222222222222","1.0","2535","ohc","four","122","2bbl","3.34","3.46","8.5","88.0","5000.0","24","30","8921.0"
"29","3","145","dodge","gas","turbo","two","hatchback","fwd","front","95.9","0.832292167227294","0.920833333333333","0.839464882943144","2811","ohc","four","156","mfi","3.6","3.9","7.0","145.0","5000.0","19","24","12964.0"
"30","2","137","honda","gas","std","two","hatchback","fwd","front","86.6","0.694858241230178","0.8875","0.849498327759197","1713","ohc","four","92","1bbl","2.91","3.41","9.6","58.0","4800.0","49","54","6479.0"
"31","2","137","honda","gas","std","two","hatchback","fwd","front","86.6","0.694858241230178","0.8875","0.849498327759197","1819","ohc","four","92","1bbl","2.91","3.41","9.2","76.0","6000.0","31","38","6855.0"
"32","1","101","honda","gas","std","two","hatchback","fwd","front","93.7","0.720807304180682","0.888888888888889","0.879598662207358","1837","ohc","four","79","1bbl","2.91","3.07","10.1","60.0","5500.0","38","42","5399.0"
"33","1","101","honda","gas","std","two","hatchback","fwd","front","93.7","0.720807304180682","0.888888888888889","0.879598662207358","1940","ohc","four","92","1bbl","2.91","3.41","9.2","76.0","6000.0","30","34","6529.0"
"34","1","101","honda","gas","std","two","hatchback","fwd","front","93.7","0.720807304180682","0.888888888888889","0.879598662207358","1956","ohc","four","92","1bbl","2.91","3.41","9.2","76.0","6000.0","30","34","7129.0"
"35","0","110","honda","gas","std","four","sedan","fwd","front","96.5","0.785199423354157","0.888888888888889","0.911371237458194","2010","ohc","four","92","1bbl","2.91","3.41","9.2","76.0","6000.0","30","34","7295.0"
"36","0","78","honda","gas","std","four","wagon","fwd","front","96.5","0.754925516578568","0.8875","0.974916387959866","2024","ohc","four","92","1bbl","2.92","3.41","9.2","76.0","6000.0","30","34","7295.0"
"37","0","106","honda","gas","std","two","hatchback","fwd","front","96.5","0.804901489668429","0.905555555555556","0.891304347826087","2236","ohc","four","110","1bbl","3.15","3.58","9.0","86.0","5800.0","27","33","7895.0"
"38","0","106","honda","gas","std","two","hatchback","fwd","front","96.5","0.804901489668429","0.905555555555556","0.891304347826087","2289","ohc","four","110","1bbl","3.15","3.58","9.0","86.0","5800.0","27","33","9095.0"
"39","0","85","honda","gas","std","four","sedan","fwd","front","96.5","0.842864007688611","0.905555555555556","0.904682274247492","2304","ohc","four","110","1bbl","3.15","3.58","9.0","86.0","5800.0","27","33","8845.0"
"40","0","85","honda","gas","std","four","sedan","fwd","front","96.5","0.842864007688611","0.868055555555556","0.904682274247492","2372","ohc","four","110","1bbl","3.15","3.58","9.0","86.0","5800.0","27","33","10295.0"
"41","0","85","honda","gas","std","four","sedan","fwd","front","96.5","0.842864007688611","0.905555555555556","0.904682274247492","2465","ohc","four","110","mpfi","3.15","3.58","9.0","101.0","5800.0","24","28","12945.0"
"42","1","107","honda","gas","std","two","sedan","fwd","front","96.5","0.812590100913023","0.916666666666667","0.852842809364548","2293","ohc","four","110","2bbl","3.15","3.58","9.1","100.0","5500.0","25","31","10345.0"
"43","0","122","isuzu","gas","std","four","sedan","rwd","front","94.3","0.820278712157616","0.858333333333333","0.894648829431438","2337","ohc","four","111","2bbl","3.31","3.23","8.5","78.0","4800.0","24","29","6785.0"
"46","2","122","isuzu","gas","std","two","hatchback","rwd","front","96.0","0.829408938010572","0.905555555555556","0.859531772575251","2734","ohc","four","119","spfi","3.43","3.23","9.2","90.0","5000.0","24","29","11048.0"
"47","0","145","jaguar","gas","std","four","sedan","rwd","front","113.0","0.959154252763095","0.966666666666667","0.882943143812709","4066","dohc","six","258","mpfi","3.63","4.17","8.1","176.0","4750.0","15","19","32250.0"
"48","0","122","jaguar","gas","std","four","sedan","rwd","front","113.0","0.959154252763095","0.966666666666667","0.882943143812709","4066","dohc","six","258","mpfi","3.63","4.17","8.1","176.0","4750.0","15","19","35550.0"
"49","0","122","jaguar","gas","std","two","sedan","rwd","front","102.0","0.921191734742912","0.980555555555556","0.79933110367893","3950","ohcv","twelve","326","mpfi","3.54","2.76","11.5","262.0","5000.0","13","17","36000.0"
"50","1","104","mazda","gas","std","two","hatchback","fwd","front","93.1","0.76453628063431","0.891666666666667","0.904682274247492","1890","ohc","four","91","2bbl","3.03","3.15","9.0","68.0","5000.0","30","31","5195.0"
"51","1","104","mazda","gas","std","two","hatchback","fwd","front","93.1","0.76453628063431","0.891666666666667","0.904682274247492","1900","ohc","four","91","2bbl","3.03","3.15","9.0","68.0","5000.0","31","38","6095.0"
"52","1","104","mazda","gas","std","two","hatchback","fwd","front","93.1","0.76453628063431","0.891666666666667","0.904682274247492","1905","ohc","four","91","2bbl","3.03","3.15","9.0","68.0","5000.0","31","38","6795.0"
"53","1","113","mazda","gas","std","four","sedan","fwd","front","93.1","0.801537722248919","0.891666666666667","0.904682274247492","1945","ohc","four","91","2bbl","3.03","3.15","9.0","68.0","5000.0","31","38","6695.0"
"54","1","113","mazda","gas","std","four","sedan","fwd","front","93.1","0.801537722248919","0.891666666666667","0.904682274247492","1950","ohc","four","91","2bbl","3.08","3.15","9.0","68.0","5000.0","31","38","7395.0"
"55","3","150","mazda","gas","std","two","hatchback","rwd","front","95.3","0.812109562710235","0.9125","0.82943143812709","2380","rotor","two","70","4bbl","3.3","3.26","9.4","101.0","6000.0","17","23","10945.0"
"56","3","150","mazda","gas","std","two","hatchback","rwd","front","95.3","0.812109562710235","0.9125","0.82943143812709","2380","rotor","two","70","4bbl","3.3","3.26","9.4","101.0","6000.0","17","23","11845.0"
"57","3","150","mazda","gas","std","two","hatchback","rwd","front","95.3","0.812109562710235","0.9125","0.82943143812709","2385","rotor","two","70","4bbl","3.3","3.26","9.4","101.0","6000.0","17","23","13645.0"
"58","3","150","mazda","gas","std","two","hatchback","rwd","front","95.3","0.812109562710235","0.9125","0.82943143812709","2500","rotor","two","80","mpfi","3.3","3.26","9.4","135.0","6000.0","16","23","15645.0"
"59","1","129","mazda","gas","std","two","hatchback","fwd","front","98.8","0.854396924555502","0.923611111111111","0.897993311036789","2385","ohc","four","122","2bbl","3.39","3.39","8.6","84.0","4800.0","26","32","8845.0"
"60","0","115","mazda","gas","std","four","sedan","fwd","front","98.8","0.854396924555502","0.923611111111111","0.92809364548495","2410","ohc","four","122","2bbl","3.39","3.39","8.6","84.0","4800.0","26","32","8495.0"
"61","1","129","mazda","gas","std","two","hatchback","fwd","front","98.8","0.854396924555502","0.923611111111111","0.897993311036789","2385","ohc","four","122","2bbl","3.39","3.39","8.6","84.0","4800.0","26","32","10595.0"
"62","0","115","mazda","gas","std","four","sedan","fwd","front","98.8","0.854396924555502","0.923611111111111","0.92809364548495","2410","ohc","four","122","2bbl","3.39","3.39","8.6","84.0","4800.0","26","32","10245.0"
"63","0","122","mazda","diesel","std","?","sedan","fwd","front","98.8","0.854396924555502","0.923611111111111","0.92809364548495","2443","ohc","four","122","idi","3.39","3.39","22.7","64.0","4650.0","36","42","10795.0"
"64","0","115","mazda","gas","std","four","hatchback","fwd","front","98.8","0.854396924555502","0.923611111111111","0.92809364548495","2425","ohc","four","122","2bbl","3.39","3.39","8.6","84.0","4800.0","26","32","11245.0"
"65","0","118","mazda","gas","std","four","sedan","rwd","front","104.9","0.840941854877463","0.918055555555556","0.909698996655518","2670","ohc","four","140","mpfi","3.76","3.16","8.0","120.0","5000.0","19","27","18280.0"
"66","0","122","mazda","diesel","std","four","sedan","rwd","front","104.9","0.840941854877463","0.918055555555556","0.909698996655518","2700","ohc","four","134","idi","3.43","3.64","22.0","72.0","4200.0","31","39","18344.0"
"67","-1","93","mercedes-benz","diesel","turbo","four","sedan","rwd","front","110.0","0.917347429120615","0.976388888888889","0.944816053511706","3515","ohc","five","183","idi","3.58","3.64","21.5","123.0","4350.0","22","25","25552.0"
"68","-1","93","mercedes-benz","diesel","turbo","four","wagon","rwd","front","110.0","0.917347429120615","0.976388888888889","0.981605351170569","3750","ohc","five","183","idi","3.58","3.64","21.5","123.0","4350.0","22","25","28248.0"
"69","0","93","mercedes-benz","diesel","turbo","two","hardtop","rwd","front","106.7","0.901009130225853","0.976388888888889","0.918060200668896","3495","ohc","five","183","idi","3.58","3.64","21.5","123.0","4350.0","22","25","28176.0"
"70","-1","93","mercedes-benz","diesel","turbo","four","sedan","rwd","front","115.6","0.973570398846708","0.995833333333333","0.941471571906355","3770","ohc","five","183","idi","3.58","3.64","21.5","123.0","4350.0","22","25","31600.0"
"71","-1","122","mercedes-benz","gas","std","four","sedan","rwd","front","115.6","0.973570398846708","0.995833333333333","0.944816053511706","3740","ohcv","eight","234","mpfi","3.46","3.1","8.3","155.0","4750.0","16","18","34184.0"
"72","3","142","mercedes-benz","gas","std","two","convertible","rwd","front","96.6","0.86641037962518","0.979166666666667","0.849498327759197","3685","ohcv","eight","234","mpfi","3.46","3.1","8.3","155.0","4750.0","16","18","35056.0"
"73","0","122","mercedes-benz","gas","std","four","sedan","rwd","front","120.9","1.0","0.995833333333333","0.948160535117057","3900","ohcv","eight","308","mpfi","3.8","3.35","8.0","184.0","4500.0","14","16","40960.0"
"74","1","122","mercedes-benz","gas","std","two","hardtop","rwd","front","112.0","0.957232099951946","1.0","0.926421404682274","3715","ohcv","eight","304","mpfi","3.8","3.35","8.0","184.0","4500.0","14","16","45400.0"
"75","1","122","mercury","gas","turbo","two","hatchback","rwd","front","102.7","0.857280153772225","0.944444444444444","0.916387959866221","2910","ohc","four","140","mpfi","3.78","3.12","8.0","175.0","5000.0","19","24","16503.0"
"76","2","161","mitsubishi","gas","std","two","hatchback","fwd","front","93.7","0.755886592984142","0.894444444444444","0.849498327759197","1918","ohc","four","92","2bbl","2.97","3.23","9.4","68.0","5500.0","37","41","5389.0"
"77","2","161","mitsubishi","gas","std","two","hatchback","fwd","front","93.7","0.755886592984142","0.894444444444444","0.849498327759197","1944","ohc","four","92","2bbl","2.97","3.23","9.4","68.0","5500.0","31","38","6189.0"
"78","2","161","mitsubishi","gas","std","two","hatchback","fwd","front","93.7","0.755886592984142","0.894444444444444","0.849498327759197","2004","ohc","four","92","2bbl","2.97","3.23","9.4","68.0","5500.0","31","38","6669.0"
"79","1","161","mitsubishi","gas","turbo","two","hatchback","fwd","front","93.0","0.755886592984142","0.886111111111111","0.849498327759197","2145","ohc","four","98","spdi","3.03","3.39","7.6","102.0","5500.0","24","30","7689.0"
"80","3","153","mitsubishi","gas","turbo","two","hatchback","fwd","front","96.3","0.83133109082172","0.908333333333333","0.826086956521739","2370","ohc","four","110","spdi","3.17","3.46","7.5","116.0","5500.0","23","30","9959.0"
"81","3","153","mitsubishi","gas","std","two","hatchback","fwd","front","96.3","0.83133109082172","0.908333333333333","0.826086956521739","2328","ohc","four","122","2bbl","3.35","3.46","8.5","88.0","5000.0","25","32","8499.0"
"82","3","122","mitsubishi","gas","turbo","two","hatchback","fwd","front","95.9","0.832292167227294","0.920833333333333","0.839464882943144","2833","ohc","four","156","spdi","3.58","3.86","7.0","145.0","5000.0","19","24","12629.0"
"83","3","122","mitsubishi","gas","turbo","two","hatchback","fwd","front","95.9","0.832292167227294","0.920833333333333","0.839464882943144","2921","ohc","four","156","spdi","3.59","3.86","7.0","145.0","5000.0","19","24","14869.0"
"84","3","122","mitsubishi","gas","turbo","two","hatchback","fwd","front","95.9","0.832292167227294","0.920833333333333","0.839464882943144","2926","ohc","four","156","spdi","3.59","3.86","7.0","145.0","5000.0","19","24","14489.0"
"85","1","125","mitsubishi","gas","std","four","sedan","fwd","front","96.3","0.828447861604998","0.908333333333333","0.862876254180602","2365","ohc","four","122","2bbl","3.35","3.46","8.5","88.0","5000.0","25","32","6989.0"
"86","1","125","mitsubishi","gas","std","four","sedan","fwd","front","96.3","0.828447861604998","0.908333333333333","0.862876254180602","2405","ohc","four","122","2bbl","3.35","3.46","8.5","88.0","5000.0","25","32","8189.0"
"87","1","125","mitsubishi","gas","turbo","four","sedan","fwd","front","96.3","0.828447861604998","0.908333333333333","0.862876254180602","2403","ohc","four","110","spdi","3.17","3.46","7.5","116.0","5500.0","23","30","9279.0"
"88","-1","137","mitsubishi","gas","std","four","sedan","fwd","front","96.3","0.828447861604998","0.908333333333333","0.862876254180602","2403","ohc","four","110","spdi","3.17","3.46","7.5","116.0","5500.0","23","30","9279.0"
"89","1","128","nissan","gas","std","two","sedan","fwd","front","94.5","0.794329649207112","0.886111111111111","0.911371237458194","1889","ohc","four","97","2bbl","3.15","3.29","9.4","69.0","5200.0","31","37","5499.0"
"90","1","128","nissan","diesel","std","two","sedan","fwd","front","94.5","0.794329649207112","0.886111111111111","0.911371237458194","2017","ohc","four","103","idi","2.99","3.47","21.9","55.0","4800.0","45","50","7099.0"
"91","1","128","nissan","gas","std","two","sedan","fwd","front","94.5","0.794329649207112","0.886111111111111","0.911371237458194","1918","ohc","four","97","2bbl","3.15","3.29","9.4","69.0","5200.0","31","37","6649.0"
"92","1","122","nissan","gas","std","four","sedan","fwd","front","94.5","0.794329649207112","0.886111111111111","0.911371237458194","1938","ohc","four","97","2bbl","3.15","3.29","9.4","69.0","5200.0","31","37","6849.0"
"93","1","103","nissan","gas","std","four","wagon","fwd","front","94.5","0.817876021143681","0.886111111111111","0.894648829431438","2024","ohc","four","97","2bbl","3.15","3.29","9.4","69.0","5200.0","31","37","7349.0"
"94","1","128","nissan","gas","std","two","sedan","fwd","front","94.5","0.794329649207112","0.886111111111111","0.911371237458194","1951","ohc","four","97","2bbl","3.15","3.29","9.4","69.0","5200.0","31","37","7299.0"
"95","1","128","nissan","gas","std","two","hatchback","fwd","front","94.5","0.795771263815473","0.886111111111111","0.891304347826087","2028","ohc","four","97","2bbl","3.15","3.29","9.4","69.0","5200.0","31","37","7799.0"
"96","1","122","nissan","gas","std","four","sedan","fwd","front","94.5","0.794329649207112","0.886111111111111","0.911371237458194","1971","ohc","four","97","2bbl","3.15","3.29","9.4","69.0","5200.0","31","37","7499.0"
"97","1","103","nissan","gas","std","four","wagon","fwd","front","94.5","0.817876021143681","0.886111111111111","0.894648829431438","2037","ohc","four","97","2bbl","3.15","3.29","9.4","69.0","5200.0","31","37","7999.0"
"98","2","168","nissan","gas","std","two","hardtop","fwd","front","95.1","0.780394041326286","0.886111111111111","0.891304347826087","2008","ohc","four","97","2bbl","3.15","3.29","9.4","69.0","5200.0","31","37","8249.0"
"99","0","106","nissan","gas","std","four","hatchback","fwd","front","97.2","0.833253243632869","0.905555555555556","0.914715719063545","2324","ohc","four","120","2bbl","3.33","3.47","8.5","97.0","5200.0","27","34","8949.0"
"100","0","106","nissan","gas","std","four","sedan","fwd","front","97.2","0.833253243632869","0.905555555555556","0.914715719063545","2302","ohc","four","120","2bbl","3.33","3.47","8.5","97.0","5200.0","27","34","9549.0"
"101","0","128","nissan","gas","std","four","sedan","fwd","front","100.4","0.8731379144642","0.923611111111111","0.921404682274248","3095","ohcv","six","181","mpfi","3.43","3.27","9.0","152.0","5200.0","17","22","13499.0"
"102","0","108","nissan","gas","std","four","wagon","fwd","front","100.4","0.887073522345026","0.923611111111111","0.938127090301003","3296","ohcv","six","181","mpfi","3.43","3.27","9.0","152.0","5200.0","17","22","14399.0"
